4,3.7598779344314153,3.389771636933693
8,5.970420109012377,6.197848991518123
12,8.13281518378564,9.08869648453361
16,9.884154389726564,11.798984320266763
20,11.999770308220368,14.970040258692578
24,14.114205997514711,18.43895764674682
28,16.539689430721435,21.8656394383023
32,18.94210683378096,25.139983465466187
36,20.642466218209712,27.80693335170841
40,23.432172185350836,31.25204391201137
44,25.78077489333574,34.77619832213357
48,27.79789334101355,37.90995412027706
52,30.22291951787558,41.296070520149506
56,32.689849589955735,44.54665955074192
60,34.69771064588833,47.28624278743103
64,36.65346409873304,49.884195803383356
68,38.87686850086655,53.144648562681915
72,41.69080251900269,56.189790205068846
76,44.684204983335206,59.44674604989519
80,47.279048207663784,62.43125835591099
