4,20.8445040009212,12.2065886420952
8,28.6490597345133,17.6589642003238
12,35.8943945452229,22.5312200066123
16,41.5343842182891,25.8446890198633
20,47.6378134218289,30.3426033043286
24,53.4536320058997,33.8102379246053
28,59.7598635693215,38.4296188982551
32,65.3060471976401,43.3536096105421
36,70.6337573746313,45.9205587349302
40,75.8715892330384,51.2563347403728
44,81.2029867256637,56.1090602582454
48,86.3283554572271,59.401863461336
52,91.4375921828908,64.2894628004005
56,96.4795353982301,67.9641456188878
60,101.167496312685,71.3538315269254
64,104.925331858407,73.1777548650747
68,110.194966814159,78.2924202622185
72,114.756637168141,81.0968827873246
76,119.172658554573,85.1833327957255
80,123.948193215339,88.1943000456009
