4,11.983568075117372,4.599291886844023
8,15.44600938967136,6.011011325723094
12,18.24237089201878,7.3493886008362015
16,21.135563380281692,7.9573169296312685
20,23.788145539906104,9.317954367531886
24,26.69894366197183,9.861413012705363
28,28.940727699530516,11.395648342800401
32,31.28521126760564,12.544862077698593
36,33.412558685446015,13.166241663762309
40,35.67194835680752,14.62946247205003
44,37.840375586854464,15.499249038290639
48,40.00000000000001,16.447056664535683
52,41.93075117370892,17.942679478092966
56,44.07276995305165,18.882318351250476
60,46.36150234741785,19.534195387799894
64,48.265845070422536,20.465466215641687
68,50.284624413145536,21.265391859515468
72,52.18603286384976,22.679628593928616
76,54.248826291079816,24.16779175362988
80,56.54636150234742,24.652878225418803
